exp_1,exp_2,exp_3,L_re,L_im
5,1,0,1.2429033956748303e-12,2.8896556361556485e-12
5,0,1,3.9562471330088245e-10,7.538002053070987e-11
4,2,0,-9.55507102226961e-10,9.655961791281988e-10
4,1,1,-2.6905014102683016e-7,-9.155105373649208e-8
4,0,2,1.2337924654073212e-7,2.985013876572254e-8
3,3,0,3.884579932845128e-8,-1.7140403694108178e-25
3,2,1,0.0006770166492599682,-0.0003093925625827061
3,1,2,-3.857292304787485e-5,2.665701559607242e-5
3,0,3,-0.004556830256014555,-0.005887642895226808
2,4,0,-9.55507102226961e-10,-9.655961791281988e-10
2,3,1,0.0006770166492599682,0.0003093925625827061
2,2,2,-0.017413211493779043,5.258006482314088e-20
2,1,3,-47.52761223639422,-17.676810335910844
2,0,4,-5.981050424585192,-0.05817582179474812
1,5,0,1.2429033956748303e-12,-2.8896556361556485e-12
1,4,1,-2.6905014102683016e-7,9.155105373649208e-8
1,3,2,-3.857292304787485e-5,-2.665701559607242e-5
1,2,3,-47.52761223639422,17.676810335910844
1,1,4,283.9763313957519,4.716354614241222e-15
1,0,5,-163313.7355894614,211991.65348417423
0,6,0,3.4502671209255894e-13,3.621726999903483e-13
0,5,1,3.9562471330088245e-10,-7.538002053070987e-11
0,4,2,1.2337924654073212e-7,-2.985013876572254e-8
0,3,3,-0.004556830256014555,0.005887642895226808
0,2,4,-5.981050424585192,0.05817582179474812
0,1,5,-163313.7355894614,-211991.65348417423
0,0,6,364583.60369035485,0.0
7,0,0,-9.499745076922389e-14,1.8446366683190034e-13
6,1,0,-1.950825987314231e-13,9.105519804597276e-13
6,0,1,2.2746680299836682e-11,8.691490477277296e-11
5,2,0,6.581033401808507e-11,-9.028632007109147e-11
5,1,1,1.9045875867081179e-10,8.730902052257793e-10
5,0,2,-2.9748435894120726e-8,4.9500489317916545e-8
4,3,0,-1.6099235314543934e-7,1.7978964365991164e-7
4,2,1,-8.415088515680062e-8,-9.996588776537254e-8
4,1,2,-4.291679997350394e-5,-2.4941662550955618e-5
